Team,W,L,W/L%,PS/G,PA/G,SRS,Season,Conference
DALLAS MAVERICKS,40,42,.488,101.4,102.0,-0.29,1999-2000,West
DENVER NUGGETS,35,47,.427,99.0,101.1,-1.76,1999-2000,West
HOUSTON ROCKETS,34,48,.415,99.5,100.3,-0.57,1999-2000,West
VANCOUVER GRIZZLIES,22,60,.268,93.9,99.5,-5.10,1999-2000,West
LOS ANGELES LAKERS,67,15,.817,100.8,92.3,8.41,1999-2000,West
PORTLAND TRAIL BLAZERS,59,23,.720,97.5,91.0,6.36,1999-2000,West
PHOENIX SUNS,53,29,.646,98.9,93.7,5.24,1999-2000,West
SEATTLE SUPERSONICS,45,37,.549,99.1,98.1,1.17,1999-2000,West
SACRAMENTO KINGS,44,38,.537,105.0,102.0,3.04,1999-2000,West
GOLDEN STATE WARRIORS,19,63,.232,95.5,103.8,-7.63,1999-2000,West
LOS ANGELES CLIPPERS,15,67,.183,92.0,103.5,-10.73,1999-2000,West
SAN ANTONIO SPURS,58,24,.707,96.2,88.4,7.92,2000-2001,West
UTAH JAZZ,53,29,.646,97.1,92.4,5.00,2000-2001,West
DALLAS MAVERICKS,53,29,.646,100.5,96.2,4.61,2000-2001,West
MINNESOTA TIMBERWOLVES,47,35,.573,97.3,96.0,1.81,2000-2001,West
HOUSTON ROCKETS,45,37,.549,97.2,94.9,2.71,2000-2001,West
DENVER NUGGETS,40,42,.488,96.6,99.0,-1.83,2000-2001,West
VANCOUVER GRIZZLIES,23,59,.280,91.7,97.5,-4.94,2000-2001,West
LOS ANGELES LAKERS,56,26,.683,100.6,97.2,3.74,2000-2001,West
SACRAMENTO KINGS,55,27,.671,101.7,95.9,6.07,2000-2001,West
PHOENIX SUNS,51,31,.622,94.0,91.8,2.63,2000-2001,West
PORTLAND TRAIL BLAZERS,50,32,.610,95.4,91.2,4.52,2000-2001,West
SEATTLE SUPERSONICS,44,38,.537,97.3,97.3,0.55,2000-2001,West
LOS ANGELES CLIPPERS,31,51,.378,92.5,95.3,-2.23,2000-2001,West
GOLDEN STATE WARRIORS,17,65,.207,92.5,101.5,-8.11,2000-2001,West
SAN ANTONIO SPURS,58,24,.707,96.7,90.5,6.28,2001-2002,West
DALLAS MAVERICKS,57,25,.695,105.2,101.0,4.41,2001-2002,West
MINNESOTA TIMBERWOLVES,50,32,.610,99.3,96.0,3.58,2001-2002,West
UTAH JAZZ,44,38,.537,96.0,95.1,1.21,2001-2002,West
HOUSTON ROCKETS,28,54,.341,92.3,97.2,-4.31,2001-2002,West
DENVER NUGGETS,27,55,.329,92.2,98.0,-5.19,2001-2002,West
MEMPHIS GRIZZLIES,23,59,.280,89.9,97.3,-6.74,2001-2002,West
SACRAMENTO KINGS,61,21,.744,104.6,97.0,7.61,2001-2002,West
LOS ANGELES LAKERS,58,24,.707,101.3,94.1,7.15,2001-2002,West
PORTLAND TRAIL BLAZERS,49,33,.598,96.6,93.7,3.21,2001-2002,West
SEATTLE SUPERSONICS,45,37,.549,97.7,94.7,3.24,2001-2002,West
LOS ANGELES CLIPPERS,39,43,.476,95.7,96.1,-0.09,2001-2002,West
PHOENIX SUNS,36,46,.439,95.1,95.8,-0.30,2001-2002,West
GOLDEN STATE WARRIORS,21,61,.256,97.7,103.1,-4.80,2001-2002,West
SAN ANTONIO SPURS,60,22,.732,95.8,90.4,5.65,2002-2003,West
DALLAS MAVERICKS,60,22,.732,103.0,95.2,7.90,2002-2003,West
MINNESOTA TIMBERWOLVES,51,31,.622,98.1,96.0,2.46,2002-2003,West
UTAH JAZZ,47,35,.573,94.7,92.3,2.76,2002-2003,West
HOUSTON ROCKETS,43,39,.524,93.8,92.3,1.89,2002-2003,West
MEMPHIS GRIZZLIES,28,54,.341,97.5,100.7,-2.60,2002-2003,West
DENVER NUGGETS,17,65,.207,84.2,92.4,-7.41,2002-2003,West
SACRAMENTO KINGS,59,23,.720,101.7,95.2,6.68,2002-2003,West
LOS ANGELES LAKERS,50,32,.610,100.4,98.0,2.71,2002-2003,West
PORTLAND TRAIL BLAZERS,50,32,.610,95.2,92.5,2.97,2002-2003,West
PHOENIX SUNS,44,38,.537,95.5,94.4,1.57,2002-2003,West
SEATTLE SUPERSONICS,40,42,.488,92.1,92.3,0.37,2002-2003,West
GOLDEN STATE WARRIORS,38,44,.463,102.4,103.6,-0.60,2002-2003,West
LOS ANGELES CLIPPERS,27,55,.329,93.8,97.9,-3.45,2002-2003,West
MINNESOTA TIMBERWOLVES,58,24,.707,94.5,89.1,5.86,2003-2004,West
SAN ANTONIO SPURS,57,25,.695,91.5,84.3,7.51,2003-2004,West
DALLAS MAVERICKS,52,30,.634,105.2,100.8,4.86,2003-2004,West
MEMPHIS GRIZZLIES,50,32,.610,96.7,94.3,2.95,2003-2004,West
HOUSTON ROCKETS,45,37,.549,89.8,88.0,2.28,2003-2004,West
DENVER NUGGETS,43,39,.524,97.2,96.1,1.65,2003-2004,West
UTAH JAZZ,42,40,.512,88.7,89.9,-0.53,2003-2004,West
LOS ANGELES LAKERS,56,26,.683,98.2,94.3,4.35,2003-2004,West
SACRAMENTO KINGS,55,27,.671,102.8,97.8,5.41,2003-2004,West
PORTLAND TRAIL BLAZERS,41,41,.500,90.7,92.0,-0.58,2003-2004,West
GOLDEN STATE WARRIORS,37,45,.451,93.3,94.0,-0.07,2003-2004,West
SEATTLE SUPERSONICS,37,45,.451,97.1,97.8,0.02,2003-2004,West
PHOENIX SUNS,29,53,.354,94.2,97.9,-2.94,2003-2004,West
LOS ANGELES CLIPPERS,28,54,.341,94.8,99.4,-3.74,2003-2004,West
SEATTLE SUPERSONICS,52,30,.634,98.9,96.6,2.59,2004-2005,West
DENVER NUGGETS,49,33,.598,99.5,97.5,2.23,2004-2005,West
MINNESOTA TIMBERWOLVES,44,38,.537,96.8,95.3,1.73,2004-2005,West
PORTLAND TRAIL BLAZERS,27,55,.329,92.9,96.9,-3.45,2004-2005,West
UTAH JAZZ,26,56,.317,93.0,97.3,-3.74,2004-2005,West
PHOENIX SUNS,62,20,.756,110.4,103.3,7.08,2004-2005,West
SACRAMENTO KINGS,50,32,.610,103.7,101.6,2.56,2004-2005,West
LOS ANGELES CLIPPERS,37,45,.451,95.7,96.5,-0.47,2004-2005,West
LOS ANGELES LAKERS,34,48,.415,98.7,101.7,-2.32,2004-2005,West
GOLDEN STATE WARRIORS,34,48,.415,98.7,100.9,-1.74,2004-2005,West
SAN ANTONIO SPURS,59,23,.720,96.2,88.4,7.84,2004-2005,West
DALLAS MAVERICKS,58,24,.707,102.5,96.8,5.86,2004-2005,West
HOUSTON ROCKETS,51,31,.622,95.1,91.0,4.27,2004-2005,West
MEMPHIS GRIZZLIES,45,37,.549,93.4,91.1,2.64,2004-2005,West
NEW ORLEANS HORNETS,18,64,.220,88.4,95.5,-6.30,2004-2005,West
DENVER NUGGETS,44,38,.537,100.3,100.1,0.36,2005-2006,West
UTAH JAZZ,41,41,.500,92.4,95.0,-2.49,2005-2006,West
SEATTLE SUPERSONICS,35,47,.427,102.6,105.6,-2.88,2005-2006,West
MINNESOTA TIMBERWOLVES,33,49,.402,91.7,93.6,-1.75,2005-2006,West
PORTLAND TRAIL BLAZERS,21,61,.256,88.8,98.3,-8.91,2005-2006,West
PHOENIX SUNS,54,28,.659,108.4,102.8,5.48,2005-2006,West
LOS ANGELES CLIPPERS,47,35,.573,97.2,95.6,1.75,2005-2006,West
LOS ANGELES LAKERS,45,37,.549,99.4,96.9,2.53,2005-2006,West
SACRAMENTO KINGS,44,38,.537,98.9,97.3,1.61,2005-2006,West
GOLDEN STATE WARRIORS,34,48,.415,98.5,99.8,-1.11,2005-2006,West
SAN ANTONIO SPURS,63,19,.768,95.6,88.8,6.69,2005-2006,West
DALLAS MAVERICKS,60,22,.732,99.1,93.1,5.96,2005-2006,West
MEMPHIS GRIZZLIES,49,33,.598,92.2,88.5,3.74,2005-2006,West
NEW ORLEANS/OKLAHOMA CITY HORNETS,38,44,.463,92.8,95.6,-2.51,2005-2006,West
HOUSTON ROCKETS,34,48,.415,90.1,91.7,-1.30,2005-2006,West
UTAH JAZZ,51,31,.622,101.5,98.6,3.06,2006-2007,West
DENVER NUGGETS,45,37,.549,105.4,103.7,1.69,2006-2007,West
PORTLAND TRAIL BLAZERS,32,50,.390,94.1,98.4,-3.78,2006-2007,West
MINNESOTA TIMBERWOLVES,32,50,.390,96.1,99.7,-3.16,2006-2007,West
SEATTLE SUPERSONICS,31,51,.378,99.1,102.0,-2.45,2006-2007,West
PHOENIX SUNS,61,21,.744,110.2,102.9,7.28,2006-2007,West
LOS ANGELES LAKERS,42,40,.512,103.3,103.4,0.24,2006-2007,West
GOLDEN STATE WARRIORS,42,40,.512,106.5,106.9,0.00,2006-2007,West
LOS ANGELES CLIPPERS,40,42,.488,95.6,96.1,-0.07,2006-2007,West
SACRAMENTO KINGS,33,49,.402,101.3,103.1,-1.35,2006-2007,West
DALLAS MAVERICKS,67,15,.817,100.0,92.8,7.28,2006-2007,West
SAN ANTONIO SPURS,58,24,.707,98.5,90.1,8.35,2006-2007,West
HOUSTON ROCKETS,52,30,.634,97.0,92.1,5.04,2006-2007,West
NEW ORLEANS/OKLAHOMA CITY HORNETS,39,43,.476,95.5,97.1,-1.19,2006-2007,West
MEMPHIS GRIZZLIES,22,60,.268,101.6,106.7,-4.44,2006-2007,West
UTAH JAZZ,54,28,.659,106.2,99.3,6.86,2007-2008,West
DENVER NUGGETS,50,32,.610,110.7,107.0,3.74,2007-2008,West
PORTLAND TRAIL BLAZERS,41,41,.500,95.4,96.3,-0.52,2007-2008,West
MINNESOTA TIMBERWOLVES,22,60,.268,95.6,102.4,-6.26,2007-2008,West
SEATTLE SUPERSONICS,20,62,.244,97.5,106.3,-8.04,2007-2008,West
LOS ANGELES LAKERS,57,25,.695,108.6,101.3,7.34,2007-2008,West
PHOENIX SUNS,55,27,.671,110.1,105.0,5.14,2007-2008,West
GOLDEN STATE WARRIORS,48,34,.585,111.0,108.8,2.38,2007-2008,West
SACRAMENTO KINGS,38,44,.463,102.5,104.8,-1.86,2007-2008,West
LOS ANGELES CLIPPERS,23,59,.280,93.8,101.1,-6.56,2007-2008,West
NEW ORLEANS HORNETS,56,26,.683,100.9,95.6,5.46,2007-2008,West
SAN ANTONIO SPURS,56,26,.683,95.4,90.6,5.10,2007-2008,West
HOUSTON ROCKETS,55,27,.671,96.7,92.0,4.83,2007-2008,West
DALLAS MAVERICKS,51,31,.622,100.4,95.9,4.70,2007-2008,West
MEMPHIS GRIZZLIES,22,60,.268,100.7,106.9,-5.76,2007-2008,West
DENVER NUGGETS,54,28,.659,104.3,100.9,3.13,2008-2009,West
PORTLAND TRAIL BLAZERS,54,28,.659,99.4,94.1,5.00,2008-2009,West
UTAH JAZZ,48,34,.585,103.6,100.9,2.31,2008-2009,West
MINNESOTA TIMBERWOLVES,24,58,.293,97.8,102.7,-4.74,2008-2009,West
OKLAHOMA CITY THUNDER,23,59,.280,97.0,103.1,-6.04,2008-2009,West
LOS ANGELES LAKERS,65,17,.793,106.9,99.3,7.11,2008-2009,West
PHOENIX SUNS,46,36,.561,109.4,107.5,1.62,2008-2009,West
GOLDEN STATE WARRIORS,29,53,.354,108.6,112.3,-3.80,2008-2009,West
LOS ANGELES CLIPPERS,19,63,.232,95.1,103.9,-8.47,2008-2009,West
SACRAMENTO KINGS,17,65,.207,100.6,109.3,-8.60,2008-2009,West
SAN ANTONIO SPURS,54,28,.659,97.0,93.3,3.36,2008-2009,West
HOUSTON ROCKETS,53,29,.646,98.4,94.4,3.73,2008-2009,West
DALLAS MAVERICKS,50,32,.610,101.7,99.8,1.68,2008-2009,West
NEW ORLEANS HORNETS,49,33,.598,95.8,94.3,1.41,2008-2009,West
MEMPHIS GRIZZLIES,24,58,.293,93.9,99.3,-5.23,2008-2009,West
DENVER NUGGETS,53,29,.646,106.5,102.4,4.15,2009-2010,West
UTAH JAZZ,53,29,.646,104.2,98.9,5.33,2009-2010,West
PORTLAND TRAIL BLAZERS,50,32,.610,98.1,94.8,3.18,2009-2010,West
OKLAHOMA CITY THUNDER,50,32,.610,101.5,98.0,3.55,2009-2010,West
MINNESOTA TIMBERWOLVES,15,67,.183,98.2,107.8,-9.06,2009-2010,West
LOS ANGELES LAKERS,57,25,.695,101.7,97.0,4.78,2009-2010,West
PHOENIX SUNS,54,28,.659,110.2,105.3,4.67,2009-2010,West
LOS ANGELES CLIPPERS,29,53,.354,95.7,102.1,-6.01,2009-2010,West
GOLDEN STATE WARRIORS,26,56,.317,108.8,112.4,-3.28,2009-2010,West
SACRAMENTO KINGS,25,57,.305,100.0,104.4,-4.06,2009-2010,West
DALLAS MAVERICKS,55,27,.671,102.0,99.3,2.66,2009-2010,West
SAN ANTONIO SPURS,50,32,.610,101.4,96.3,5.07,2009-2010,West
HOUSTON ROCKETS,42,40,.512,102.4,102.7,-0.02,2009-2010,West
MEMPHIS GRIZZLIES,40,42,.488,102.5,104.0,-1.39,2009-2010,West
NEW ORLEANS HORNETS,37,45,.451,100.2,102.7,-2.27,2009-2010,West
OKLAHOMA CITY THUNDER,55,27,.671,104.8,101.0,3.81,2010-2011,West
DENVER NUGGETS,50,32,.610,107.5,102.7,4.81,2010-2011,West
PORTLAND TRAIL BLAZERS,48,34,.585,96.3,94.8,1.85,2010-2011,West
UTAH JAZZ,39,43,.476,99.4,101.3,-1.44,2010-2011,West
MINNESOTA TIMBERWOLVES,17,65,.207,101.1,107.7,-5.97,2010-2011,West
LOS ANGELES LAKERS,57,25,.695,101.5,95.4,6.01,2010-2011,West
PHOENIX SUNS,40,42,.488,105.0,105.9,-0.46,2010-2011,West
GOLDEN STATE WARRIORS,36,46,.439,103.4,105.7,-2.00,2010-2011,West
LOS ANGELES CLIPPERS,32,50,.390,98.6,101.8,-2.71,2010-2011,West
SACRAMENTO KINGS,24,58,.293,99.4,104.7,-4.80,2010-2011,West
SAN ANTONIO SPURS,61,21,.744,103.7,98.0,5.86,2010-2011,West
DALLAS MAVERICKS,57,25,.695,100.2,96.0,4.41,2010-2011,West
NEW ORLEANS HORNETS,46,36,.561,94.9,94.0,1.28,2010-2011,West
MEMPHIS GRIZZLIES,46,36,.561,99.9,97.6,2.55,2010-2011,West
HOUSTON ROCKETS,43,39,.524,105.9,103.7,2.37,2010-2011,West
OKLAHOMA CITY THUNDER,47,19,.712,103.1,96.9,6.44,2011-2012,West
DENVER NUGGETS,38,28,.576,104.1,101.2,3.16,2011-2012,West
UTAH JAZZ,36,30,.545,99.7,99.0,0.92,2011-2012,West
PORTLAND TRAIL BLAZERS,28,38,.424,97.2,97.8,-0.22,2011-2012,West
MINNESOTA TIMBERWOLVES,26,40,.394,97.9,100.1,-1.83,2011-2012,West
LOS ANGELES LAKERS,41,25,.621,97.3,95.9,1.96,2011-2012,West
LOS ANGELES CLIPPERS,40,26,.606,97.5,95.0,2.82,2011-2012,West
PHOENIX SUNS,33,33,.500,98.4,98.6,0.29,2011-2012,West
GOLDEN STATE WARRIORS,23,43,.348,97.8,101.2,-2.79,2011-2012,West
SACRAMENTO KINGS,22,44,.333,98.8,104.4,-4.95,2011-2012,West
SAN ANTONIO SPURS,50,16,.758,103.7,96.5,7.28,2011-2012,West
MEMPHIS GRIZZLIES,41,25,.621,95.0,93.0,2.43,2011-2012,West
DALLAS MAVERICKS,36,30,.545,95.8,94.8,1.78,2011-2012,West
HOUSTON ROCKETS,34,32,.515,98.1,97.9,0.57,2011-2012,West
NEW ORLEANS HORNETS,21,45,.318,89.6,93.4,-3.11,2011-2012,West
OKLAHOMA CITY THUNDER,60,22,.732,105.7,96.5,9.15,2012-2013,West
DENVER NUGGETS,57,25,.695,106.1,101.1,5.37,2012-2013,West
UTAH JAZZ,43,39,.524,98.0,98.1,0.30,2012-2013,West
PORTLAND TRAIL BLAZERS,33,49,.402,97.5,100.7,-2.53,2012-2013,West
MINNESOTA TIMBERWOLVES,31,51,.378,95.7,98.1,-1.83,2012-2013,West
LOS ANGELES CLIPPERS,56,26,.683,101.1,94.6,6.43,2012-2013,West
GOLDEN STATE WARRIORS,47,35,.573,101.2,100.3,1.32,2012-2013,West
LOS ANGELES LAKERS,45,37,.549,102.2,101.0,1.48,2012-2013,West
SACRAMENTO KINGS,28,54,.341,100.2,105.1,-4.26,2012-2013,West
PHOENIX SUNS,25,57,.305,95.2,101.6,-5.75,2012-2013,West
SAN ANTONIO SPURS,58,24,.707,103.0,96.6,6.67,2012-2013,West
MEMPHIS GRIZZLIES,56,26,.683,93.4,89.3,4.32,2012-2013,West
HOUSTON ROCKETS,45,37,.549,106.0,102.5,3.69,2012-2013,West
DALLAS MAVERICKS,41,41,.500,101.1,101.7,-0.24,2012-2013,West
NEW ORLEANS HORNETS,27,55,.329,94.1,97.9,-3.12,2012-2013,West
OKLAHOMA CITY THUNDER,59,23,.720,106.2,99.8,6.66,2013-2014,West
PORTLAND TRAIL BLAZERS,54,28,.659,106.7,102.8,4.44,2013-2014,West
MINNESOTA TIMBERWOLVES,40,42,.488,106.9,104.3,3.10,2013-2014,West
DENVER NUGGETS,36,46,.439,104.4,106.5,-1.40,2013-2014,West
UTAH JAZZ,25,57,.305,95.0,102.2,-6.27,2013-2014,West
LOS ANGELES CLIPPERS,57,25,.695,107.9,101.0,7.27,2013-2014,West
GOLDEN STATE WARRIORS,51,31,.622,104.3,99.5,5.15,2013-2014,West
PHOENIX SUNS,48,34,.585,105.2,102.6,3.02,2013-2014,West
SACRAMENTO KINGS,28,54,.341,100.5,103.4,-2.08,2013-2014,West
LOS ANGELES LAKERS,27,55,.329,103.0,109.2,-5.33,2013-2014,West
SAN ANTONIO SPURS,62,20,.756,105.4,97.6,8.00,2013-2014,West
HOUSTON ROCKETS,54,28,.659,107.7,103.1,5.06,2013-2014,West
MEMPHIS GRIZZLIES,50,32,.610,96.1,94.6,2.18,2013-2014,West
DALLAS MAVERICKS,49,33,.598,104.8,102.4,2.91,2013-2014,West
NEW ORLEANS PELICANS,34,48,.415,99.7,102.4,-1.98,2013-2014,West
PORTLAND TRAIL BLAZERS,51,31,.622,102.8,98.6,4.41,2014-2015,West
OKLAHOMA CITY THUNDER,45,37,.549,104.0,101.8,2.47,2014-2015,West
UTAH JAZZ,38,44,.463,95.1,94.9,0.71,2014-2015,West
DENVER NUGGETS,30,52,.366,101.5,105.0,-3.07,2014-2015,West
MINNESOTA TIMBERWOLVES,16,66,.195,97.8,106.5,-8.00,2014-2015,West
GOLDEN STATE WARRIORS,67,15,.817,110.0,99.9,10.01,2014-2015,West
LOS ANGELES CLIPPERS,56,26,.683,106.7,100.1,6.80,2014-2015,West
PHOENIX SUNS,39,43,.476,102.4,103.3,-0.38,2014-2015,West
SACRAMENTO KINGS,29,53,.354,101.3,105.0,-3.07,2014-2015,West
LOS ANGELES LAKERS,21,61,.256,98.5,105.3,-6.17,2014-2015,West
HOUSTON ROCKETS,56,26,.683,103.9,100.5,3.82,2014-2015,West
MEMPHIS GRIZZLIES,55,27,.671,98.3,95.1,3.62,2014-2015,West
SAN ANTONIO SPURS,55,27,.671,103.2,97.0,6.34,2014-2015,West
DALLAS MAVERICKS,50,32,.610,105.2,102.3,3.36,2014-2015,West
NEW ORLEANS PELICANS,45,37,.549,99.4,98.6,1.13,2014-2015,West
OKLAHOMA CITY THUNDER,55,27,.671,110.2,102.9,7.09,2015-2016,West
PORTLAND TRAIL BLAZERS,44,38,.537,105.1,104.3,0.98,2015-2016,West
UTAH JAZZ,40,42,.488,97.7,95.9,1.84,2015-2016,West
DENVER NUGGETS,33,49,.402,101.9,105.0,-2.81,2015-2016,West
MINNESOTA TIMBERWOLVES,29,53,.354,102.4,106.0,-3.38,2015-2016,West
GOLDEN STATE WARRIORS,73,9,.890,114.9,104.1,10.38,2015-2016,West
LOS ANGELES CLIPPERS,53,29,.646,104.5,100.2,4.13,2015-2016,West
SACRAMENTO KINGS,33,49,.402,106.6,109.1,-2.32,2015-2016,West
PHOENIX SUNS,23,59,.280,100.9,107.5,-6.32,2015-2016,West
LOS ANGELES LAKERS,17,65,.207,97.3,106.9,-8.92,2015-2016,West
SAN ANTONIO SPURS,67,15,.817,103.5,92.9,10.28,2015-2016,West
DALLAS MAVERICKS,42,40,.512,102.3,102.6,-0.02,2015-2016,West
MEMPHIS GRIZZLIES,42,40,.512,99.1,101.3,-2.14,2015-2016,West
HOUSTON ROCKETS,41,41,.500,106.5,106.4,0.34,2015-2016,West
NEW ORLEANS PELICANS,30,52,.366,102.7,106.5,-3.56,2015-2016,West
UTAH JAZZ,51,31,.622,100.7,96.8,4.00,2016-2017,West
OKLAHOMA CITY THUNDER,47,35,.573,106.6,105.8,1.14,2016-2017,West
PORTLAND TRAIL BLAZERS,41,41,.500,107.9,108.5,-0.23,2016-2017,West
DENVER NUGGETS,40,42,.488,111.7,111.2,0.70,2016-2017,West
MINNESOTA TIMBERWOLVES,31,51,.378,105.6,106.7,-0.64,2016-2017,West
GOLDEN STATE WARRIORS,67,15,.817,115.9,104.3,11.35,2016-2017,West
LOS ANGELES CLIPPERS,51,31,.622,108.7,104.4,4.42,2016-2017,West
SACRAMENTO KINGS,32,50,.390,102.8,106.7,-3.29,2016-2017,West
LOS ANGELES LAKERS,26,56,.317,104.6,111.5,-6.29,2016-2017,West
PHOENIX SUNS,24,58,.293,107.7,113.3,-5.14,2016-2017,West
SAN ANTONIO SPURS,61,21,.744,105.3,98.1,7.13,2016-2017,West
HOUSTON ROCKETS,55,27,.671,115.3,109.6,5.84,2016-2017,West
MEMPHIS GRIZZLIES,43,39,.524,100.5,100.0,0.96,2016-2017,West
NEW ORLEANS PELICANS,34,48,.415,104.3,106.4,-1.69,2016-2017,West
DALLAS MAVERICKS,33,49,.402,97.9,100.8,-2.53,2016-2017,West
PORTLAND TRAIL BLAZERS,49,33,.598,105.6,103.0,2.60,2017-2018,West
OKLAHOMA CITY THUNDER,48,34,.585,107.9,104.4,3.42,2017-2018,West
UTAH JAZZ,48,34,.585,104.1,99.8,4.47,2017-2018,West
MINNESOTA TIMBERWOLVES,47,35,.573,109.5,107.3,2.35,2017-2018,West
DENVER NUGGETS,46,36,.561,110.0,108.5,1.57,2017-2018,West
GOLDEN STATE WARRIORS,58,24,.707,113.5,107.5,5.79,2017-2018,West
LOS ANGELES CLIPPERS,42,40,.512,109.0,109.0,0.15,2017-2018,West
LOS ANGELES LAKERS,35,47,.427,108.1,109.6,-1.44,2017-2018,West
SACRAMENTO KINGS,27,55,.329,98.8,105.8,-6.60,2017-2018,West
PHOENIX SUNS,21,61,.256,103.9,113.3,-8.80,2017-2018,West
HOUSTON ROCKETS,65,17,.793,112.4,103.9,8.21,2017-2018,West
NEW ORLEANS PELICANS,48,34,.585,111.7,110.4,1.48,2017-2018,West
SAN ANTONIO SPURS,47,35,.573,102.7,99.8,2.89,2017-2018,West
DALLAS MAVERICKS,24,58,.293,102.3,105.4,-2.70,2017-2018,West
MEMPHIS GRIZZLIES,22,60,.268,99.3,105.5,-5.81,2017-2018,West
DENVER NUGGETS,54,28,.659,110.7,106.7,4.19,2018-2019,West
PORTLAND TRAIL BLAZERS,53,29,.646,114.7,110.5,4.43,2018-2019,West
UTAH JAZZ,50,32,.610,111.7,106.5,5.28,2018-2019,West
OKLAHOMA CITY THUNDER,49,33,.598,114.5,111.1,3.56,2018-2019,West
MINNESOTA TIMBERWOLVES,36,46,.439,112.5,114.0,-1.02,2018-2019,West
GOLDEN STATE WARRIORS,57,25,.695,117.7,111.2,6.42,2018-2019,West
LOS ANGELES CLIPPERS,48,34,.585,115.1,114.3,1.09,2018-2019,West
SACRAMENTO KINGS,39,43,.476,114.2,115.3,-0.81,2018-2019,West
LOS ANGELES LAKERS,37,45,.451,111.8,113.5,-1.33,2018-2019,West
PHOENIX SUNS,19,63,.232,107.5,116.8,-8.61,2018-2019,West
HOUSTON ROCKETS,53,29,.646,113.9,109.1,4.96,2018-2019,West
SAN ANTONIO SPURS,48,34,.585,111.7,110.0,1.80,2018-2019,West
MEMPHIS GRIZZLIES,33,49,.402,103.5,106.1,-2.08,2018-2019,West
NEW ORLEANS PELICANS,33,49,.402,115.4,116.8,-1.10,2018-2019,West
DALLAS MAVERICKS,33,49,.402,108.9,110.1,-0.87,2018-2019,West
DENVER NUGGETS,46,27,.630,111.3,109.2,2.35,2019-2020,West
OKLAHOMA CITY THUNDER,44,28,.611,110.4,108.4,2.33,2019-2020,West
UTAH JAZZ,44,28,.611,111.3,108.8,2.52,2019-2020,West
PORTLAND TRAIL BLAZERS,35,39,.473,115.0,116.1,-0.61,2019-2020,West
MINNESOTA TIMBERWOLVES,19,45,.297,113.3,117.5,-4.02,2019-2020,West
LOS ANGELES LAKERS,52,19,.732,113.4,107.6,6.28,2019-2020,West
LOS ANGELES CLIPPERS,49,23,.681,116.3,109.9,6.66,2019-2020,West
PHOENIX SUNS,34,39,.466,113.6,113.4,0.56,2019-2020,West
SACRAMENTO KINGS,31,41,.431,110.1,112.1,-1.59,2019-2020,West
GOLDEN STATE WARRIORS,15,50,.231,106.3,115.0,-8.12,2019-2020,West
HOUSTON ROCKETS,44,28,.611,117.8,114.8,3.13,2019-2020,West
DALLAS MAVERICKS,43,32,.573,117.0,112.1,4.87,2019-2020,West
MEMPHIS GRIZZLIES,34,39,.466,112.6,113.7,-0.91,2019-2020,West
SAN ANTONIO SPURS,32,39,.451,114.1,115.2,-0.65,2019-2020,West
NEW ORLEANS PELICANS,30,42,.417,115.8,117.1,-0.55,2019-2020,West
